"index","ID","COMMON_NAME","SCIENTIFIC_NAME","FOOD_GROUP","FOOD_SUBGROUP"
"671","694","Unclassified food or beverage","","Unclassified","Unclassified"
"672","695","Syrup","","Baking goods","Baking goods"
"673","696","Tallow","","Fats and oils","Animal fats"
"674","697","Remoulade","","Baking goods","Condiments"
"675","698","Chocolate spread","","Confectioneries","Spreads"
"676","699","Fruit gum","","Confectioneries","Candies"
"677","700","Curry powder","","Herbs and Spices","Herb and spice mixtures"
"678","701","Other candy","","Confectioneries","Candies"
"679","702","Meringue","","Confectioneries","Other confectioneries"
"680","703","Lard","","Fats and oils","Animal fats"
"681","704","Other animal fat","","Fats and oils","Animal fats"
"682","705","Other cocoa product","","Cocoa and cocoa products","Cocoa products"
"683","706","Cocoa butter","","Cocoa and cocoa products","Cocoa products"
"684","707","Cocoa powder","","Cocoa and cocoa products","Cocoa products"
"685","708","Cocoa liquor","","Cocoa and cocoa products","Cocoa products"
"686","709","Chocolate","","Cocoa and cocoa products","Cocoa products"
"687","710","Hot chocolate","","Cocoa and cocoa products","Cocoa products"
"688","711","Dried milk","","Milk and milk products","Other milk products"
"689","712","Milk (Other mammals)","","Milk and milk products","Unfermented milks"
"690","713","Kefir","","Milk and milk products","Fermented milks"
"691","714","Buttermilk","","Milk and milk products","Fermented milks"
"692","715","Other fermented milk","","Milk and milk products","Fermented milks"
"693","716","Soy sauce","","Soy","Soy products"
"694","717","Miso","","Soy","Soy products"
"695","718","Tofu","","Soy","Soy products"
"696","721","Zwieback","","Cereals and cereal products","Leavened breads"
"697","722","Roe","","Aquatic foods","Roe"
"698","723","Cichlidae (Tilapia)","Cichlidae","Aquatic foods","Fishes"
