Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Burundi,BDI,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.532,..,..,..,..
Cabo Verde,CPV,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.779,..,..,..,..
Cabo Verde,CPV,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.823,..,..,..,..
Cabo Verde,CPV,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.281,..,..,..,..
Cabo Verde,CPV,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.098,..,..,..,..
Cabo Verde,CPV,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.342,..,..,..,..
Cabo Verde,CPV,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,1.036,..,..,..,..
Cambodia,KHM,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.226,..,..,..,..
Cambodia,KHM,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.526,..,..,..,..
Cambodia,KHM,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.422,..,..,..,..
Cambodia,KHM,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.15,..,..,..,..
Cambodia,KHM,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.503,..,..,..,..
Cambodia,KHM,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.791,..,..,..,..
Cameroon,CMR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.837,..,..,..,..
Cameroon,CMR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.447,..,..,..,..
Cameroon,CMR,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.144,..,..,..,..
Cameroon,CMR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.116,..,..,..,..
Cameroon,CMR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.48,..,..,..,..
Cameroon,CMR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.592,..,..,..,..
Canada,CAN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.766,..,..,..,..
Canada,CAN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.673,..,..,..,..
Canada,CAN,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.31,..,..,..,..
